DECISION_ID,INVENTORY_ID,CURRENT_PATH,CURRENT_ACTION,REFERENCE_RISK,DECISION_PROPOSED,IMPACT_CLASS,BLOCKS_REL001,BLOCKS_OPS005,BLOCKS_RFC002,BLOCKS_SPR018,REMEDIATION_REQUIRED,HUMAN_APPROVAL_REQUIRED,RATIONALE
"DEC-0022","INV-0027","CKO_CORPUS_API.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0023","INV-0028","CKO_CORPUS_ARCHITECTURE.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0024","INV-0029","CKO_CORPUS_MODEL_GUIDE.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0025","INV-0030","CKO_CORPUS_OPERATIONS.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0026","INV-0031","CKO_CORPUS_SERIALIZATION.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0027","INV-0032","CKO_DOCUMENT_API.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0028","INV-0033","CKO_DOCUMENT_MODEL_ARCHITECTURE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0029","INV-0034","CKO_DOCUMENT_MODEL_GUIDE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0030","INV-0035","CKO_DOCUMENT_SERIALIZATION.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0031","INV-0036","CKO_GRAPH_API.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0032","INV-0037","CKO_GRAPH_ARCHITECTURE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0033","INV-0038","CKO_GRAPH_MODEL_GUIDE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0034","INV-0039","CKO_GRAPH_NAVIGATION.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0035","INV-0040","CKO_GRAPH_SERIALIZATION.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0036","INV-0041","CKO_INDEX_API.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0037","INV-0042","CKO_INDEX_ARCHITECTURE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0038","INV-0043","CKO_INDEX_MODEL_GUIDE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0039","INV-0044","CKO_INDEX_OPERATIONS.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0040","INV-0045","CKO_INDEX_SERIALIZATION.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0041","INV-0046","CKO_KNOWLEDGE_OBJECT_API.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0042","INV-0047","CKO_KNOWLEDGE_OBJECT_ARCHITECTURE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0043","INV-0048","CKO_KNOWLEDGE_OBJECT_SERIALIZATION.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0044","INV-0049","CKO_KNOWLEDGE_OBJECT_VERSIONING.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0045","INV-0050","CKO_PROVENANCE_STATEMENT_API.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0046","INV-0051","CKO_PROVENANCE_STATEMENT_ARCHITECTURE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0047","INV-0052","CKO_PROVENANCE_STATEMENT_INTEGRATION.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0048","INV-0053","CKO_PROVENANCE_STATEMENT_MODEL_GUIDE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0049","INV-0054","CKO_PROVENANCE_STATEMENT_OPERATIONS.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0050","INV-0055","CKO_PROVENANCE_STATEMENT_SERIALIZATION.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0051","INV-0056","CKO_QUERY_API.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0052","INV-0057","CKO_QUERY_ARCHITECTURE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0053","INV-0058","CKO_QUERY_MODEL_GUIDE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0054","INV-0059","CKO_QUERY_SERIALIZATION.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0055","INV-0060","CKO_RELATIONSHIP_API.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0056","INV-0061","CKO_RELATIONSHIP_ARCHITECTURE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0057","INV-0062","CKO_RELATIONSHIP_MODEL_GUIDE.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0058","INV-0063","CKO_RELATIONSHIP_SERIALIZATION.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0059","INV-0065","CKO_SPR_003_INVENTARIO_SEGURO.zip","HOLD","MEDIUM_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD institucional mantido (PATH_REFERENCED); liberar somente após decisão humana sobre autoridade, retenção, custódia, segurança e consumidores aplicáveis. Isolável da REL-001."
"DEC-0060","INV-0066","CKO_SPR_004_INVENTARIO_CANONICO.zip","HOLD","MEDIUM_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD institucional mantido (PATH_REFERENCED); liberar somente após decisão humana sobre autoridade, retenção, custódia, segurança e consumidores aplicáveis. Isolável da REL-001."
"DEC-0061","INV-0089","docs/governance/OPS-004_REPOSITORY_CANONICAL_MIGRATION_PLAN.md","HOLD","MEDIUM_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD histórico mantido por corrupção textual comprovada na AUD-003; preservação e errata isolam o item, que não integra a REL-001 seletiva."
"DEC-0062","INV-0100","GOV-005_PROJECT_EFFORT_AUDIT.md","MOVE","MEDIUM_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco MEDIUM_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0063","INV-0101","inventory.txt","HOLD","MEDIUM_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD institucional mantido (PATH_REFERENCED); liberar somente após decisão humana sobre autoridade, retenção, custódia, segurança e consumidores aplicáveis. Isolável da REL-001."
"DEC-0064","INV-0102","logs/.gitkeep","HOLD","MEDIUM_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD institucional mantido (PATH_REFERENCED); liberar somente após decisão humana sobre autoridade, retenção, custódia, segurança e consumidores aplicáveis. Isolável da REL-001."
"DEC-0065","INV-0103","logs/cko.log","HOLD","MEDIUM_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD institucional mantido (PATH_REFERENCED); liberar somente após decisão humana sobre autoridade, retenção, custódia, segurança e consumidores aplicáveis. Isolável da REL-001."
"DEC-0066","INV-0104","logs/debug.log","HOLD","LOW_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD mantido; ausência comprovada de consumidor e dependência reduz risco, mas retenção, autoridade e descarte ainda exigem decisão institucional. Não integra a REL-001 seletiva."
"DEC-0067","INV-0105","logs/duplicates.json","HOLD","MEDIUM_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD institucional mantido (PATH_REFERENCED); liberar somente após decisão humana sobre autoridade, retenção, custódia, segurança e consumidores aplicáveis. Isolável da REL-001."
