ID,TYPE,SOURCE,REQUIREMENT,PACKAGE,EVIDENCE,STATUS,BLOCKER,ACTION,OWNER_ROLE,IMPLEMENTATION_GATE
P-018-01,PACKAGE,SPR-018 27,"External protocol foundation",P-018-01,"Technical specification section 10",PARTIALLY_SATISFIED,YES,"Approve spec audit D1-D3 profiles environment and package authorization",Package Technical Owner,BEFORE_P-018-01
P-018-02,PACKAGE,SPR-018 27,"Authority publication and authorized query",P-018-02,"Technical specification sections 5 7 and 10",PARTIALLY_SATISFIED,YES,"Approve named authority and policy matrix D0-D4 and security profile",Package and Governance Owners,BEFORE_P-018-02
P-018-03,PACKAGE,SPR-018 27,"Federation pagination partial failure idempotency and isolation",P-018-03,"Technical specification sections 6 and 10",PARTIALLY_SATISFIED,YES,"Approve D3-D4 isolated environment source access and numeric SLO profile",Package Operations and Source Owners,BEFORE_P-018-03
P-018-04,PACKAGE,SPR-018 27,"End-to-end Provenance conflicts corrections and revocation",P-018-04,"Technical specification sections 8 and 10; SPR-017 homologation",PARTIALLY_SATISFIED,YES,"Approve mapping redaction retention and predecessor package evidence",Package Privacy and Audit Owners,BEFORE_P-018-04
P-018-05,PACKAGE,SPR-018 27,"Conformance compatibility rollback and D5 dossier",P-018-05,"Technical specification sections 9-11",PARTIALLY_SATISFIED,YES,"Complete homologation and audits for P-018-01..04",Sprint Governance and Independent Audit,BEFORE_P-018-05
ARCH-BASELINE,ARCH_DEPENDENCY,CKO-GOV-001 and CKO-BASELINE-2026.07,"Preserve immutable baseline",ALL,"Preflight peeled commit faa51ac6568dc2aa0e11d2333671b1098a1a89fa",SATISFIED,NO,"Recheck before every package and stop on divergence",Architecture Owner,CONTINUOUS
ARCH-BOUNDARIES,ARCH_DEPENDENCY,CKO-ARCH-001 and ARCH-001,"Core independent; dependencies inward; external composition",P-018-01..04,"Technical specification sections 2 and 10",SATISFIED,NO,"Enforce dependency and file-diff gates",Architecture Owner,BEFORE_PACKAGE_ACCEPTANCE
ARCH-RFC,ARCH_DEPENDENCY,RFC-002 and REV-002,"Implement only approved FCP semantics with conditions",ALL,"RFC approved with conditions on 2026-08-12",SATISFIED,NO,"Maintain requirement traceability",Architecture Review,BEFORE_PACKAGE_ACCEPTANCE
SEC-AUTH,SECURITY_DEPENDENCY,ADR-006 RFC-002,"Least privilege policy intersection and fail-safe authority",P-018-02..04,"Technical specification sections 5 and 7",PARTIALLY_SATISFIED,YES,"Approve concrete perimeter controls and named authorities",Security Privacy and Domain Authorities,BEFORE_REAL_ACCESS
SEC-TELEMETRY,SECURITY_DEPENDENCY,REV-002 COND-004,"Observability must not leak existence metadata content or policy",P-018-02..05,"Technical specification section 7",PARTIALLY_SATISFIED,YES,"Approve redaction pseudonymization retention and incident handling",Security and Privacy Authorities,BEFORE_REAL_TELEMETRY
TEST-STRATEGY,TEST_DEPENDENCY,SPR-018 17 and RFC-002,"Unit contract integration security resilience and regression suites",ALL,"Technical specification section 11",SATISFIED,NO,"Create executable tests only after package authorization",QA and Package Owners,BEFORE_IMPLEMENTATION
TEST-FIXTURES,TEST_DEPENDENCY,SPR-018 17,"Only isolated synthetic or explicitly authorized data; no real writes",ALL,"Technical specification section 11",PARTIALLY_SATISFIED,YES,"Approve isolated environment and fixture inventory",Data Security and QA Owners,BEFORE_TEST_EXECUTION
PROV-FOUNDATION,PROVENANCE_DEPENDENCY,SPR-017 homologation,"Reuse homologated Provenance Statement; no competing mechanism",P-018-01..05,"SPR-017 reports and CKO_PROVENANCE_STATEMENT documents",SATISFIED,NO,"Consume only existing public services and opaque refs",Provenance/API Owner,BEFORE_P-018-01
PROV-PROFILE,PROVENANCE_DEPENDENCY,RFC-002 and REV-002,"Map every material FCP activity and protect trace",P-018-04,"Technical specification section 8",PARTIALLY_SATISFIED,YES,"Approve mapping retention and trace-authorization profile",Audit Privacy and Domain Owners,BEFORE_P-018-04
API-646,COMPATIBILITY_DEPENDENCY,SPR-017 reports and public API catalog,"Exactly 646 root exports unique resolved with zero semantic change",ALL,"Technical specification section 9; current homologated count 646/646/646",SATISFIED,NO,"Execute fingerprint regression before and after each package",SDK/API Owner,BEFORE_AND_AFTER_EACH_PACKAGE
HUMAN-AUTHORIZATION,HUMAN_DECISION,SPR-018 10.3,"Explicit implementation authorization per package",P-018-01..05,"No authorization issued by this preparation",UNSATISFIED,YES,"After all gates and audit issue or deny package authorization",Competent Human Authority,FINAL_IMPLEMENTATION_GATE
