REFERENCE_ID,SOURCE,TARGET,SOURCE_INVENTORY_ID,TARGET_INVENTORY_ID,REFERENCE_TYPE,REFERENCE_FORM,EVIDENCE,CONFIDENCE,OPERATIONAL_IMPACT
REF-000011,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,CKO_BUILD.cmd,INV-0006,INV-0011,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 288: |-- CKO_BUILD.cmd,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000012,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,CKO_BUILD.cmd,INV-0006,INV-0011,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,"line 582: internos são `CKO_CLEAN.cmd`, `CKO_TESTS.cmd`, `CKO_BUILD.cmd` e",HIGH,Path/name-sensitive consumer; relocation may require update
REF-000013,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,CKO_CLEAN.cmd,INV-0006,INV-0012,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 286: |-- CKO_CLEAN.cmd,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000014,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,CKO_CLEAN.cmd,INV-0006,INV-0012,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,"line 582: internos são `CKO_CLEAN.cmd`, `CKO_TESTS.cmd`, `CKO_BUILD.cmd` e",HIGH,Path/name-sensitive consumer; relocation may require update
REF-000015,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,CKO_RUNTIME.cmd,INV-0006,INV-0064,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 289: `-- CKO_RUNTIME.cmd,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000016,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,CKO_RUNTIME.cmd,INV-0006,INV-0064,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 583: `CKO_RUNTIME.cmd`. O build de wheel é determinístico e usa somente a biblioteca,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000017,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,CKO_TESTS.cmd,INV-0006,INV-0067,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 287: |-- CKO_TESTS.cmd,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000018,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,CKO_TESTS.cmd,INV-0006,INV-0067,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,"line 582: internos são `CKO_CLEAN.cmd`, `CKO_TESTS.cmd`, `CKO_BUILD.cmd` e",HIGH,Path/name-sensitive consumer; relocation may require update
REF-000019,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,docs/adr/ADR-001_MONOLITO_MODULAR_INCREMENTAL.md,INV-0006,INV-0070,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 1258: | ADR-001 | Monólito modular incremental | Evitar microserviços e reorganizações extensas; evoluir por contratos estáveis. |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000020,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,docs/adr/ADR-002_IDENTIDADE_DOCUMENTAL.md,INV-0006,INV-0071,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 1259: | ADR-002 | Identidade documental não depende só de nome/path | Caminhos mudam; identidade lógica precisa sobreviver a movimentação e renomeação. |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000021,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,docs/adr/ADR-003_PRESERVACAO_DO_LEGADO.md,INV-0006,INV-0072,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1260: | ADR-003 | Preservação dos módulos operacionais legados | Reduzir risco de regressão; scanner, metadata, kb, classifier, organizer e utils não são movidos implicitamente. |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000022,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,docs/adr/ADR-004_BANCO_CANONICO_SEPARADO.md,INV-0006,INV-0073,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 1261: | ADR-004 | Banco canônico separado | Isolar migração de bancos legados e impedir interferência em dados existentes. |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000023,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,docs/decisoes/ADR-005A-001_PERSISTENCIA_ADITIVA.md,INV-0006,INV-0082,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1262: | ADR-005A-001 | Persistência aditiva em `cko.persistence` | Preservar `cko.kb`, reduzir colisão por prefixo e rastrear migração. |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000024,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,pyproject.toml,INV-0006,INV-0112,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 574: `WorkspaceManager` localiza o projeto por `pyproject.toml` ancestral ou,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000025,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,pyproject.toml,INV-0006,INV-0112,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 584: padrão; a distribuição continua definida pelo `pyproject.toml`.,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000026,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008A_IMPLEMENTATION_REPORT.md,INV-0006,INV-0127,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1159: | SPR-008A | Fundação `cko.core`: contratos, identidade, modelos documentais, metadata, erros, logging, config e utils. |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000027,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008A_IMPLEMENTATION_REPORT.md,INV-0006,INV-0127,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 141: **SPR-008A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, OA, P e Q**. A SPR-008OA é",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000028,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008A_IMPLEMENTATION_REPORT.md,INV-0006,INV-0127,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 8: **Versão arquitetural consolidada:** Baseline Arquitetural 1.0 + CORE-001 + SPR-008A–SPR-008Q,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000029,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008B_IMPLEMENTATION_REPORT.md,INV-0006,INV-0128,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 1160: | SPR-008B | Modelo Canônico de Ativos e serialização estrita. |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000030,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008C_IMPLEMENTATION_REPORT.md,INV-0006,INV-0129,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 1161: | SPR-008C | Canonical Inventory Engine em memória. |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000031,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008D_IMPLEMENTATION_REPORT.md,INV-0006,INV-0130,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1162: | SPR-008D | Contratos públicos de Discovery, service, eventos, mapper e validação. |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000032,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008E_IMPLEMENTATION_REPORT.md,INV-0006,INV-0131,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1163: | SPR-008E | Provider Foundation: registry, resolver, factory, sessão, cancelamento, checkpoint abstrato, sync/async. |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000033,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008F_IMPLEMENTATION_REPORT.md,INV-0006,INV-0132,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1164: | SPR-008F | Streaming e batch incremental, cursor, acknowledgement e backpressure. |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000034,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008G_IMPLEMENTATION_REPORT.md,INV-0006,INV-0133,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 1165: | SPR-008G | Resolução auditável de identidade. |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000035,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008H_IMPLEMENTATION_REPORT.md,INV-0006,INV-0134,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1166: | SPR-008H | Modelo, validação, resolução e negociação de capacidades. |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000036,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008I_IMPLEMENTATION_REPORT.md,INV-0006,INV-0135,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 1167: | SPR-008I | Query Foundation e plano lógico. |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000037,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008J_IMPLEMENTATION_REPORT.md,INV-0006,INV-0136,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 1168: | SPR-008J | Avaliação de QueryPlan sobre subjects em memória. |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000038,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008K_IMPLEMENTATION_REPORT.md,INV-0006,INV-0137,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 1169: | SPR-008K | Índices lógicos e planejamento de uso. |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000039,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008L_IMPLEMENTATION_REPORT.md,INV-0006,INV-0138,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1170: | SPR-008L | Estatísticas, histogramas e estimativa de custo. |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000040,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008M_IMPLEMENTATION_REPORT.md,INV-0006,INV-0139,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 1171: | SPR-008M | Cost-Based Query Planner e estratégia lógica. |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000041,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008M_IMPLEMENTATION_REPORT.md,INV-0006,INV-0139,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 461: - **Cost-Based Planner (SPR-008M):** escolhe uma estratégia lógica e produz,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000042,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008N_IMPLEMENTATION_REPORT.md,INV-0006,INV-0140,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1172: | SPR-008N | Query Optimizer determinístico, convergente e reversível. |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000043,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008O_IMPLEMENTATION_REPORT.md,INV-0006,INV-0141,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 1173: | SPR-008O | Execution Planner e árvore física descritiva. |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000044,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008O_IMPLEMENTATION_REPORT.md,INV-0006,INV-0141,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 463: - **Canonical Execution Planner (SPR-008O):** transforma essa estratégia em,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000045,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008P_IMPLEMENTATION_REPORT.md,INV-0006,INV-0143,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1175: | SPR-008P | Execution Engine lógico, operadores e lifecycle de execução. |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000046,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008Q_IMPLEMENTATION_REPORT.md,INV-0006,INV-0144,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 10: **Última entrega considerada:** SPR-008Q homologada,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000047,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008Q_IMPLEMENTATION_REPORT.md,INV-0006,INV-0144,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1176: | SPR-008Q | Runtime canônico, sessão, recursos lógicos, lifecycle e coordenação do Engine. |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000048,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008Q_IMPLEMENTATION_REPORT.md,INV-0006,INV-0144,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1459: O CKO CORE SDK homologado até a SPR-008Q constitui um núcleo modular, canônico,",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000049,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008Q_IMPLEMENTATION_REPORT.md,INV-0006,INV-0144,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1475: SPR-008Q e não autoriza, define ou inicia qualquer Sprint posterior.",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000050,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008Q_IMPLEMENTATION_REPORT.md,INV-0006,INV-0144,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 158: ARCH-001 / consolidação mestre do CORE SDK até SPR-008Q,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000051,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008Q_IMPLEMENTATION_REPORT.md,INV-0006,INV-0144,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 20: > histórico primário. Nenhuma entrega posterior à SPR-008Q integra esta arquitetura.,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000052,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008Q_IMPLEMENTATION_REPORT.md,INV-0006,INV-0144,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 26: plataforma que rege o SDK; (b) o baseline efetivamente homologado até a SPR-008Q;,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000053,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008Q_IMPLEMENTATION_REPORT.md,INV-0006,INV-0144,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 8: **Versão arquitetural consolidada:** Baseline Arquitetural 1.0 + CORE-001 + SPR-008A–SPR-008Q,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000054,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md,SPR008R_IMPLEMENTATION_REPORT.md,INV-0006,INV-0145,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 1189: quando necessário, ADR. Este roadmap não inicia nem nomeia a SPR-008R.",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000055,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,CKO_BUILD.cmd,INV-0007,INV-0011,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 310: |-- CKO_BUILD.cmd,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000056,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,CKO_CLEAN.cmd,INV-0007,INV-0012,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 308: |-- CKO_CLEAN.cmd,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000057,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,CKO_RUNTIME.cmd,INV-0007,INV-0064,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 311: `-- CKO_RUNTIME.cmd,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000058,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,CKO_TESTS.cmd,INV-0007,INV-0067,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 309: |-- CKO_TESTS.cmd,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000059,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,docs/adr/ADR-001_MONOLITO_MODULAR_INCREMENTAL.md,INV-0007,INV-0070,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 864: | ADR-001 | Monólito modular incremental |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000060,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,docs/adr/ADR-002_IDENTIDADE_DOCUMENTAL.md,INV-0007,INV-0071,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 865: | ADR-002 | Identidade documental não depende apenas de nome/path |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000061,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,docs/adr/ADR-003_PRESERVACAO_DO_LEGADO.md,INV-0007,INV-0072,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 866: | ADR-003 | Preservação dos módulos operacionais legados |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000062,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,docs/adr/ADR-004_BANCO_CANONICO_SEPARADO.md,INV-0007,INV-0073,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 867: | ADR-004 | Banco canônico separado |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000063,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,docs/decisoes/ADR-005A-001_PERSISTENCIA_ADITIVA.md,INV-0007,INV-0082,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 868: | ADR-005A-001 | Persistência aditiva em `cko.persistence` |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000064,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008A_IMPLEMENTATION_REPORT.md,INV-0007,INV-0127,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 115: **CORE-001** e **SPR-008A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, OA, P, Q,",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000065,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008A_IMPLEMENTATION_REPORT.md,INV-0007,INV-0127,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 304: |-- tests/ # suítes legadas e SPR-008A–T,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000066,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008A_IMPLEMENTATION_REPORT.md,INV-0007,INV-0127,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 682: As superfícies públicas permanecem as homologadas nas SPR-008A–Q: modelos,",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000067,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008A_IMPLEMENTATION_REPORT.md,INV-0007,INV-0127,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 790: | SPR-008A | Fundação `cko.core` |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000068,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008A_IMPLEMENTATION_REPORT.md,INV-0007,INV-0127,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 8: **Versão arquitetural consolidada:** Baseline Arquitetural 1.0 + CORE-001 + SPR-008A–SPR-008T,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000069,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008A_IMPLEMENTATION_REPORT.md,INV-0007,INV-0127,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,"line 977: | Roadmap | relatórios CORE-001 e SPR-008A–T | R, S e T homologadas |",MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000070,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008A_IMPLEMENTATION_REPORT.md,INV-0007,INV-0127,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 996: código homologado de CORE-001 e SPR-008A–SPR-008T. Connector Abstraction,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000071,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008B_IMPLEMENTATION_REPORT.md,INV-0007,INV-0128,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 791: | SPR-008B | Modelo Canônico de Ativos |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000072,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008C_IMPLEMENTATION_REPORT.md,INV-0007,INV-0129,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 792: | SPR-008C | Inventory Engine em memória |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000073,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008D_IMPLEMENTATION_REPORT.md,INV-0007,INV-0130,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 793: | SPR-008D | Contratos públicos de Discovery |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000074,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008E_IMPLEMENTATION_REPORT.md,INV-0007,INV-0131,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 794: | SPR-008E | Provider Foundation |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000075,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008F_IMPLEMENTATION_REPORT.md,INV-0007,INV-0132,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 795: | SPR-008F | Streaming e batch incremental |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000076,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008G_IMPLEMENTATION_REPORT.md,INV-0007,INV-0133,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 796: | SPR-008G | Resolução de identidade |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000077,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008H_IMPLEMENTATION_REPORT.md,INV-0007,INV-0134,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 797: | SPR-008H | Capability model e negociação |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000078,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008I_IMPLEMENTATION_REPORT.md,INV-0007,INV-0135,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 798: | SPR-008I | Query Foundation |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000079,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008J_IMPLEMENTATION_REPORT.md,INV-0007,INV-0136,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 799: | SPR-008J | Avaliação de query em memória |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000080,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008K_IMPLEMENTATION_REPORT.md,INV-0007,INV-0137,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 800: | SPR-008K | Índices lógicos |,MEDIUM,Identity-level documentary navigation; physical path not implied
REF-000081,ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md,SPR008L_IMPLEMENTATION_REPORT.md,INV-0007,INV-0138,DOCUMENTARY_DEPENDENCY,IDENTIFIER_REFERENCE,line 801: | SPR-008L | Estatísticas e custo |,MEDIUM,Identity-level documentary navigation; physical path not implied
